,closed,share
 Writers ,0,0.0035752592062924565
 Presentations ,0,0.028602073650339652
 Consumer Goods ,0,0.10368251698248124
 Computer Vision ,0,0.028602073650339652
 PC Gaming ,0,0.0035752592062924565
 Commercial Real Estate ,0,0.03575259206292456
 Baby Boomers ,0,0.0035752592062924565
 Coffee ,0,0.014301036825169826
 Colleges ,0,0.04647836968180193
 Construction ,0,0.03575259206292456
 Musical Instruments ,0,0.0035752592062924565
 Families ,0,0.010725777618877368
 Social CRM ,0,0.014301036825169826
 Cosmetics ,0,0.007150518412584913
 Content Discovery ,0,0.0321773328566321
 Software Compliance ,0,0.0035752592062924565
 Internet of Things ,0,0.19306399713979264
 Sunglasses ,0,0.007150518412584913
 Energy IT ,0,0.010725777618877368
 Web CMS ,0,0.0321773328566321
 Green Consumer Goods ,0,0.007150518412584913
 Pharmaceuticals ,0,0.16803718269574544
